Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,-2 MD,max,4500.68765229699,2379.43530273438,216.291225207739,81.267261938934,9.24869581352227,557.024756946143,6.4890698092654,2655.0,2676.0,20.0,0.0755328013021278,9703.0,34.99,42.39,19.29,11.31,22.6,36.26,82.8,70.72,71.34,181.82,160.35,33.45
Extremo,-2 MD,min,1852.10353724247,980.536987304688,0.0,0.0,0.0,151.094805539308,3.17164560610598,1171.0,1183.0,-18.0,-0.039826033402587,4080.0,85.62,140.11,0.0,0.0,,57.13,92.42,240.45,243.92,24.66,146.32,106.19
Extremo,-2 MD,p75,3191.56223588998,1826.59655761719,105.496313546737,21.7797828150804,0.0,355.126250765012,4.41257567267225,2177.0,2186.0,11.0,0.0230082925603973,7189.0,29.91,43.39,13.61,6.47,,27.54,83.48,70.25,70.18,-220.0,95.5,34.74
Extremo,-2 MD,p90,3816.28469084081,2009.14465332031,141.289426054714,52.987244434932,0.0,437.651339358105,5.14769783124378,2572.0,2608.0,15.0,0.0368614184453067,7983.0,34.28,43.82,15.05,9.58,,30.9,86.77,74.77,76.06,,111.76,32.89
Extremo,-2 MD,p95,4136.74253841452,2084.12963867188,160.068187767507,75.5287499171373,0.0,519.66826964072,5.25084588965182,2610.0,2630.0,16.0,0.0509360084159384,8478.0,35.97,43.45,16.66,13.35,0.0,35.54,81.22,75.59,75.66,800.0,137.21,33.02
Extremo,+2 MD,mean,3765.8508707090236,1556.2119029651988,126.88146080161408,48.381886703323495,0.0,496.6367090060361,4.405164115477547,1524.6363636363637,1529.8181818181818,0.18181818181818182,0.011366996365832943,8301.818181818182,44.63,49.72,21.55,17.4,0.0,48.5,87.84,63.34,63.4,-0.89,79.36,48.53
Extremo,+2 MD,median,3873.78138479469,1520.42004394531,91.8816143889884,37.2849078189912,0.0,526.642034850726,4.50821135130394,1502.0,1499.0,5.0,0.00488915849635419,8686.0,40.9,47.84,15.6,14.51,,46.98,92.45,61.47,61.23,-32.26,34.92,44.96
Extremo,+2 MD,max,4649.58699562347,2010.19689941406,350.452446615959,174.201610690816,0.0,690.336901890147,4.99323657466104,2140.0,2142.0,22.0,0.0523896822656655,9972.0,36.15,35.81,31.26,24.25,0.0,44.94,63.71,57.01,57.1,200.0,111.22,34.38
Extremo,+2 MD,min,2773.95246220566,1141.79248046875,21.3667058293425,0.0,0.0,301.144931994506,3.64718032003653,891.0,896.0,-34.0,-0.0280816144033451,5739.0,128.24,163.15,37.33,0.0,,113.86,106.28,182.96,184.74,46.58,103.17,149.38
Extremo,+2 MD,p75,4291.13386079411,1794.34509277344,147.297749985058,61.6582862014795,0.0,555.227996374529,4.70188530431653,1890.0,1904.0,11.0,0.0366044147793529,9288.0,40.21,42.62,19.0,18.33,,43.06,88.95,60.99,61.12,-220.0,151.93,44.89
